Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "Sensor-touch.brd" as of: 14/01/2016 09:36:50
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
PADS,Top,0.000,0.000,0
R1,Top,0.394,1.063,0
S1,Top,0.433,1.457,0
